Year,week,Temperature,Relative Temperature,Wind,Rel. humidity,Dew Point,Pressure,Daily minimum temperature,Daily maximum temperature,Clear,FogRain,FogSnowfall,FogSnowfallRain,FogThunderstormRain,HailFogThunderstormRain,Rain,Snowfall,SnowfallRain,Thunderstorm,ThunderstormRain,ThunderstormSnowfallRain
2015,33,26.16111111111111,27.58888888888889,7.733333333333333,0.7428333333333333,20.88888888888889,1006.8944444444444,22.714285714285715,30.571428571428573,6,0,0,0,0,0,0,0,0,0,1,0
2015,34,25.703296703296704,26.73076923076923,7.851648351648351,0.7203296703296703,19.89010989010989,1008.4285714285714,22.571428571428573,30.0,4,0,0,0,0,0,2,0,0,0,1,0
2015,35,23.772455089820358,24.005988023952096,9.988023952095809,0.6752694610778442,16.964071856287426,1006.437125748503,20.428571428571427,27.571428571428573,4,0,0,0,0,0,3,0,0,0,0,0
2015,36,24.123595505617978,24.421348314606742,8.724719101123595,0.7000561797752809,17.910112359550563,1010.6629213483146,20.571428571428573,28.142857142857142,5,0,0,0,0,0,1,0,0,0,1,0
2015,37,21.197674418604652,21.040697674418606,9.494186046511627,0.5956976744186047,12.069767441860465,1012.2616279069767,15.428571428571429,26.428571428571427,6,0,0,0,0,0,1,0,0,0,0,0
2015,38,20.779761904761905,20.541666666666668,8.255952380952381,0.5542261904761905,10.398809523809524,1017.5833333333334,15.285714285714286,26.857142857142858,7,0,0,0,0,0,0,0,0,0,0,0
2015,39,21.392045454545453,21.295454545454547,6.386363636363637,0.6696590909090909,14.0,1011.0681818181819,15.857142857142858,27.714285714285715,7,0,0,0,0,0,0,0,0,0,0,0
2015,40,19.126436781609197,18.833333333333332,11.637931034482758,0.5220114942528735,7.810344827586207,1015.3850574712644,13.714285714285714,24.714285714285715,5,0,0,0,0,0,2,0,0,0,0,0
2015,41,16.28735632183908,16.10919540229885,8.022988505747126,0.603103448275862,7.287356321839081,1017.3045977011494,10.857142857142858,22.285714285714285,5,0,0,0,0,0,2,0,0,0,0,0
2015,42,14.784431137724551,14.658682634730539,7.227544910179641,0.6921556886227546,8.29940119760479,1018.3832335329341,9.714285714285714,21.285714285714285,6,0,0,0,0,0,1,0,0,0,0,0
2015,43,16.375690607734807,16.303867403314918,7.1878453038674035,0.7301657458563535,10.850828729281767,1018.6132596685082,11.714285714285714,22.428571428571427,6,0,0,0,0,0,1,0,0,0,0,0
2015,44,9.929411764705883,9.188235294117646,10.152941176470588,0.5586470588235294,0.43529411764705883,1021.4764705882353,4.142857142857143,15.0,5,0,0,0,0,0,2,0,0,0,0,0
2015,45,10.155555555555555,9.838888888888889,8.46111111111111,0.6857777777777778,3.8666666666666667,1025.7166666666667,6.428571428571429,16.142857142857142,5,0,0,0,0,0,2,0,0,0,0,0
2015,46,11.063218390804598,10.781609195402298,7.988505747126437,0.7961494252873563,7.344827586206897,1021.5172413793103,8.571428571428571,14.571428571428571,4,1,0,0,0,0,2,0,0,0,0,0
2015,47,10.87709497206704,10.40782122905028,8.391061452513966,0.7362569832402234,5.994413407821229,1020.9441340782123,7.714285714285714,14.142857142857142,5,0,0,0,0,0,2,0,0,0,0,0
2015,48,3.192982456140351,0.3508771929824561,11.824561403508772,0.6629239766081871,-2.742690058479532,1023.9298245614035,0.5714285714285714,5.857142857142857,1,0,0,0,0,0,5,1,0,0,0,0
2015,49,2.8969072164948453,0.31443298969072164,11.649484536082474,0.6780927835051547,-2.9278350515463916,1020.659793814433,-1.4285714285714286,6.285714285714286,3,0,0,0,0,0,2,0,1,0,0,1
2015,50,2.8433734939759034,1.180722891566265,7.765060240963855,0.6075301204819277,-4.734939759036145,1026.0301204819277,-1.5714285714285714,8.285714285714286,6,1,0,0,0,0,0,0,0,0,0,0
2015,51,0.5411764705882353,-1.9764705882352942,9.7,0.5854117647058823,-7.311764705882353,1025.2058823529412,-3.142857142857143,4.285714285714286,5,0,0,0,0,0,2,0,0,0,0,0
2015,52,-1.2071005917159763,-3.6449704142011834,8.378698224852071,0.5827218934911242,-9.094674556213018,1030.076923076923,-5.6,2.8,5,0,0,0,0,0,0,0,0,0,0,0
2016,1,-0.7953216374269005,-3.1578947368421053,8.274853801169591,0.5558479532163743,-9.590643274853802,1024.2456140350878,-5.142857142857143,3.142857142857143,6,0,0,0,0,0,0,1,0,0,0,0
2016,2,-2.8313953488372094,-5.523255813953488,8.168604651162791,0.5161046511627907,-12.476744186046512,1023.4302325581396,-7.142857142857143,1.7142857142857142,4,0,0,0,0,0,1,2,0,0,0,0
2016,3,-7.508771929824562,-12.584795321637428,13.64327485380117,0.46204678362573104,-17.953216374269005,1025.3801169590643,-11.714285714285714,-4.0,5,0,0,0,0,0,0,2,0,0,0,0
2016,4,-4.526011560693641,-7.69364161849711,8.485549132947977,0.5173988439306358,-13.763005780346822,1027.6242774566474,-8.142857142857142,0.7142857142857143,5,0,0,0,0,0,0,2,0,0,0,0
2016,5,-4.1420118343195265,-6.798816568047338,8.502958579881657,0.41958579881656805,-16.39644970414201,1027.1834319526627,-10.428571428571429,1.7142857142857142,7,0,0,0,0,0,0,0,0,0,0,0
2016,6,3.810055865921788,2.0558659217877095,10.743016759776536,0.6067039106145251,-4.625698324022347,1018.4692737430167,-1.7142857142857142,9.428571428571429,4,0,0,0,0,0,2,0,0,0,1,0
2016,7,-0.4124293785310734,-4.333333333333333,14.796610169491526,0.5640677966101695,-8.80225988700565,1020.9435028248588,-5.428571428571429,3.0,5,0,0,0,0,0,0,2,0,0,0,0
2016,8,0.24561403508771928,-2.1637426900584797,9.935672514619883,0.46590643274853805,-11.116959064327485,1029.8070175438597,-3.5714285714285716,4.714285714285714,5,0,0,0,0,0,1,0,1,0,0,0
2016,9,4.193548387096774,1.903225806451613,12.591397849462366,0.6303763440860215,-2.8440860215053765,1023.1720430107526,0.5714285714285714,8.714285714285714,4,0,0,0,0,0,1,1,0,0,1,0
2016,10,2.5773809523809526,-0.6547619047619048,13.571428571428571,0.4505952380952381,-9.017857142857142,1023.0595238095239,-1.7142857142857142,6.571428571428571,7,0,0,0,0,0,0,0,0,0,0,0
2016,11,6.643274853801169,5.590643274853801,8.035087719298245,0.5455555555555556,-3.0350877192982457,1019.9824561403509,1.2857142857142858,12.571428571428571,6,0,0,0,0,0,1,0,0,0,0,0
2016,12,6.5251396648044695,5.284916201117318,9.603351955307263,0.5375977653631285,-3.7262569832402233,1021.6033519553073,0.2857142857142857,12.714285714285714,7,0,0,0,0,0,0,0,0,0,0,0
2016,13,10.22905027932961,9.636871508379889,10.240223463687151,0.47614525139664804,-2.6815642458100557,1018.4525139664804,4.714285714285714,18.0,6,0,0,0,0,0,1,0,0,0,0,0
2016,14,11.086206896551724,10.408045977011493,9.850574712643677,0.6126436781609195,2.0919540229885056,1014.5862068965517,6.142857142857143,17.714285714285715,4,1,0,0,0,0,2,0,0,0,0,0
2016,15,12.725714285714286,12.417142857142856,9.348571428571429,0.6137142857142858,4.2,1013.1371428571429,7.857142857142857,19.714285714285715,5,0,0,0,0,0,2,0,0,0,0,0
2016,16,12.462857142857143,12.182857142857143,12.714285714285714,0.6628571428571428,5.434285714285714,1012.1142857142858,8.285714285714286,17.571428571428573,4,0,0,0,0,0,3,0,0,0,0,0
2016,17,15.834319526627219,15.668639053254438,9.822485207100591,0.4381656804733728,1.5798816568047338,1012.4082840236687,11.285714285714286,22.571428571428573,7,0,0,0,0,0,0,0,0,0,0,0
2016,18,16.82777777777778,16.583333333333332,16.566666666666666,0.6096111111111111,7.844444444444444,1007.4666666666667,12.857142857142858,22.571428571428573,3,0,0,0,0,0,4,0,0,0,0,0
2016,19,17.29940119760479,17.107784431137723,10.538922155688622,0.5804191616766468,7.724550898203593,1013.9820359281437,13.142857142857142,23.0,4,0,0,0,0,0,3,0,0,0,0,0
2016,20,19.741176470588236,19.3,9.617647058823529,0.5048235294117647,6.982352941176471,1014.9176470588235,13.0,26.857142857142858,6,0,0,0,0,0,1,0,0,0,0,0
2016,21,19.90173410404624,19.734104046242773,9.00578034682081,0.6179768786127168,11.277456647398845,1010.7225433526012,15.571428571428571,24.857142857142858,5,0,0,0,0,0,2,0,0,0,0,0
2016,22,21.029761904761905,20.803571428571427,8.142857142857142,0.574047619047619,11.18452380952381,1008.0297619047619,16.0,26.857142857142858,7,0,0,0,0,0,0,0,0,0,0,0
2016,23,22.275862068965516,22.224137931034484,8.459770114942529,0.6263793103448275,14.057471264367816,1010.7758620689655,18.857142857142858,27.714285714285715,6,0,0,0,0,0,1,0,0,0,0,0
2016,24,22.14857142857143,22.228571428571428,11.148571428571428,0.6927428571428572,15.817142857142857,1004.1657142857143,18.428571428571427,26.714285714285715,5,0,0,0,0,0,1,0,0,0,1,0
2016,25,23.67241379310345,23.971264367816094,9.097701149425287,0.6916666666666667,17.304597701149426,1005.0574712643678,19.571428571428573,28.428571428571427,4,0,0,0,0,0,3,0,0,0,0,0
2016,26,24.114754098360656,24.442622950819672,10.120218579234972,0.6857923497267759,17.311475409836067,1007.9344262295082,20.571428571428573,29.0,4,0,0,0,0,0,2,0,0,0,1,0
2016,27,23.911917098445596,24.39896373056995,9.808290155440414,0.7583419689119171,18.989637305699482,1010.0518134715026,20.428571428571427,28.142857142857142,5,0,0,0,0,0,2,0,0,0,0,0
2016,28,25.53179190751445,26.416184971098264,10.393063583815028,0.6901156069364162,19.034682080924856,1002.2023121387283,22.142857142857142,29.285714285714285,4,0,0,0,0,0,3,0,0,0,0,0
2016,29,26.485207100591715,27.7396449704142,9.331360946745562,0.6746153846153846,19.644970414201183,1009.5029585798817,24.0,30.285714285714285,6,0,0,0,0,0,1,0,0,0,0,0
2016,30,27.488636363636363,30.301136363636363,10.261363636363637,0.7672159090909091,22.869318181818183,1008.125,25.142857142857142,30.142857142857142,2,0,0,0,0,0,4,0,0,0,1,0
2016,31,28.541666666666668,31.446428571428573,6.988095238095238,0.72375,22.702380952380953,1009.375,25.0,33.285714285714285,6,0,0,0,0,0,1,0,0,0,0,0
2016,32,29.171597633136095,32.07692307692308,7.887573964497041,0.6861538461538461,22.349112426035504,1007.8579881656805,25.285714285714285,34.0,7,0,0,0,0,0,0,0,0,0,0,0
2016,33,29.275449101796408,32.11377245508982,8.005988023952096,0.6632335329341318,21.88622754491018,1004.0,25.571428571428573,33.714285714285715,7,0,0,0,0,0,0,0,0,0,0,0
2016,34,27.062857142857144,28.257142857142856,10.605714285714285,0.5976571428571429,17.697142857142858,1006.7028571428572,22.285714285714285,31.714285714285715,5,0,0,0,0,0,2,0,0,0,0,0
2016,35,22.166666666666668,22.216666666666665,15.294444444444444,0.6293333333333333,14.272222222222222,1000.6833333333333,18.0,26.428571428571427,4,0,0,0,0,0,2,0,0,0,1,0
2016,36,23.707865168539325,24.04494382022472,7.151685393258427,0.7308426966292135,18.252808988764045,1009.0337078651686,20.0,28.285714285714285,6,0,0,0,1,0,0,0,0,0,0,0
2016,37,23.444444444444443,23.567251461988302,7.654970760233918,0.6769005847953217,16.736842105263158,1015.485380116959,19.285714285714285,28.285714285714285,5,0,0,0,0,0,2,0,0,0,0,0
2016,38,20.708333333333332,20.523809523809526,8.553571428571429,0.5389880952380952,9.94047619047619,1016.2202380952381,14.833333333333334,26.333333333333332,6,0,0,0,0,0,0,0,0,0,0,0
2016,39,20.720238095238095,20.69047619047619,7.2976190476190474,0.7130952380952381,14.845238095238095,1016.1547619047619,18.142857142857142,25.142857142857142,6,0,0,0,0,0,1,0,0,0,0,0
2016,40,20.340425531914892,20.46808510638298,12.042553191489361,0.7795744680851064,16.127659574468087,1011.7872340425532,14.0,24.857142857142858,5,0,0,0,0,0,2,0,0,0,0,0
2016,42,16.80314960629921,16.74015748031496,8.031496062992126,0.6359055118110236,9.31496062992126,1018.4409448818898,12.571428571428571,21.714285714285715,6,1,0,0,0,0,0,0,0,0,0,0
